pmt	ch1	ch2	ch3	ch4	ch5	ch6	ch7	ch8	ch9	ch10	ch11	ch12	ch13	ch14	ch15	ch16
1	75	2	2	3	2	2	3	2	3	2	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	3	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	3	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	3	3	3	3	3	3	3	
1	75	2	2	2	2	2	3	2	3	3	3	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	2	2	3	3	2	3	3	
1	75	2	2	3	2	2	3	2	3	3	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	3	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	3	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	2	2	3	3	2	3	3	
1	75	2	2	3	2	2	3	2	3	3	3	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	3	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	3	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	3	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	2	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	3	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	2	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	2	2	3	3	3	3	3	
1	75	2	2	2	2	2	3	2	3	3	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	2	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	3	3	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	3	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	3	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	3	2	3	3	3	3	3	
1	75	2	2	2	2	2	3	2	3	3	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	2	2	3	3	2	3	3	
1	75	2	2	3	2	2	3	2	3	3	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	2	2	3	3	2	3	3	
1	75	2	2	3	2	2	3	2	3	3	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	3	3	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	3	3	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	2	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	3	2	3	3	3	3	3	
1	75	2	2	2	2	2	3	2	3	2	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	3	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	3	3	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	2	2	3	3	3	3	3	
1	75	2	2	3	2	2	3	2	3	3	3	3	3	3	3	3	
1	75	2	2	2	2	2	3	2	3	3	2	3	3	3	3	3	
1	75	2	2	2	2	2	3	2	3	2	2	3	3	3	3	3	
